year,country,country_url,region_code,region,rank_per_region,overall_rank,happiness_score,happiness_status,gdp_per_capita,family,social_support,healthy_life_expectancy,freedom_life_choices,generosity,corruption
2016,Poland,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,150.0,EUROPE,22.0,57,5.835,Green,1.24585,1.04685,,0.69058,0.4519,0.055,0.14443
2016,South Korea,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,142.0,ASIA,14.0,57,5.835,Green,1.35948,0.7219399999999999,,0.88645,0.25168,0.07716,0.18824000000000002
2016,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19.0,AMERICAS,20.0,59,5.822,Green,0.79422,0.8377899999999999,,0.4697,0.50961,0.07746,0.21698
2016,Lithuania,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg,150.0,EUROPE,23.0,60,5.813,Green,1.2692,1.0641100000000001,,0.64674,0.18929,0.0182,0.02025
2016,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150.0,EUROPE,24.0,61,5.8020000000000005,Green,1.1306200000000002,1.04993,,0.6310399999999999,0.29091,0.17457,0.13942000000000002
2016,North Cyprus,,,Nan,,62,5.771,Green,1.31141,0.81826,,0.8414200000000001,0.43596,0.16577999999999998,0.26322
2016,Slovenia,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg,150.0,EUROPE,25.0,63,5.768,Green,1.2994700000000001,1.05613,,0.79151,0.53164,0.03635,0.25738
2016,Peru,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,19.0,AMERICAS,21.0,64,5.742999999999999,Green,0.9960200000000001,0.81255,,0.6299399999999999,0.37501999999999996,0.05292,0.14527
2016,Turkmenistan,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg,142.0,ASIA,15.0,65,5.6579999999999995,Green,1.08017,1.03817,,0.44006000000000006,0.37408,0.28467,0.22566999999999998
2016,Mauritius,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg,2.0,AFRICA,2.0,66,5.648,Green,1.14372,0.75695,,0.66189,0.46145,0.05202999999999999,0.36951
2016,Libya,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg,2.0,AFRICA,3.0,67,5.615,Green,1.0668799999999998,0.95076,,0.52304,0.40671999999999997,0.10339000000000001,0.17087
2016,Latvia,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,150.0,EUROPE,26.0,68,5.56,Amber,1.2178799999999999,0.95025,,0.63952,0.27996,0.0889,0.17445
2016,Cyprus,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,142.0,ASIA,16.0,69,5.546,Amber,1.31857,0.70697,,0.8488,0.29507,0.05227999999999999,0.27906
2016,Paraguay,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,19.0,AMERICAS,22.0,70,5.537999999999999,Amber,0.8937299999999999,1.11111,,0.58295,0.46235,0.07396,0.25296
2016,Romania,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg,150.0,EUROPE,27.0,71,5.528,Amber,1.1697,0.7280300000000001,,0.67602,0.36712,0.006790000000000001,0.12889
2016,Estonia,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,150.0,EUROPE,28.0,72,5.517,Amber,1.2796399999999999,1.0516299999999998,,0.68098,0.41511000000000003,0.18519000000000002,0.08423
2016,Jamaica,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,19.0,AMERICAS,23.0,73,5.51,Amber,0.89333,0.96372,,0.5946899999999999,0.43596999999999997,0.04294,0.22245
2016,Croatia,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,150.0,EUROPE,29.0,74,5.4879999999999995,Amber,1.18649,0.6080899999999999,,0.70524,0.23906999999999998,0.04002,0.18434
2016,Hong Kong,,142.0,ASIA,17.0,75,5.457999999999999,Amber,1.5107,0.87021,,0.9527700000000001,0.48078999999999994,0.31647,0.40097
2016,Somalia,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg,2.0,AFRICA,4.0,76,5.44,Amber,0.0,0.33613000000000004,,0.11465999999999998,0.5677800000000001,0.3118,0.27225
2016,Kosovo,https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kosovo.svg,,Nan,,77,5.401,Amber,0.90145,0.66062,,0.54,0.14396,0.06547,0.27992
2016,Turkey,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,142.0,ASIA,18.0,78,5.388999999999999,Amber,1.1649200000000002,0.8771700000000001,,0.64718,0.23889000000000002,0.12347999999999999,0.04707
2016,Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,142.0,ASIA,19.0,79,5.314,Amber,0.95104,0.87625,,0.49373999999999996,0.39237,0.00322,0.56521
2016,Jordan,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,142.0,ASIA,20.0,80,5.303,Amber,0.9967299999999999,0.86216,,0.60712,0.36023,0.13297,0.14262
2016,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142.0,ASIA,21.0,81,5.291,Amber,1.12373,0.76042,,0.54504,0.35327,0.17914000000000002,0.0564
2016,Philippines,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg,142.0,ASIA,22.0,82,5.279,Amber,0.81217,0.87877,,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002
2016,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,142.0,ASIA,23.0,83,5.245,Amber,1.0278,0.79381,,0.73561,0.44011999999999996,0.02745,0.049589999999999995
2016,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142.0,ASIA,24.0,84,5.196000000000001,Amber,0.8527,0.9083600000000001,,0.49759,0.46074,0.1616,0.48546000000000006
2016,Kyrgyzstan,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg,142.0,ASIA,25.0,85,5.185,Amber,0.5604399999999999,0.95434,,0.5544899999999999,0.40212,0.047619999999999996,0.38432
2016,Serbia,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,150.0,EUROPE,30.0,86,5.1770000000000005,Amber,1.03437,0.81329,,0.6458,0.15718,0.04339,0.20736999999999997
2016,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,Nan,,87,5.162999999999999,Amber,0.9338299999999999,0.64367,,0.7076600000000001,0.09511,0.0,0.29889
2016,Montenegro,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg,150.0,EUROPE,31.0,88,5.1610000000000005,Amber,1.07838,0.74173,,0.6353300000000001,0.15111,0.12721,0.17190999999999998
2016,Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,19.0,AMERICAS,24.0,89,5.155,Amber,1.02787,0.9949600000000001,,0.5766899999999999,0.52259,0.12372000000000001,0.21286
2016,Morocco,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,2.0,AFRICA,5.0,90,5.151,Amber,0.8405799999999999,0.38595,,0.5947100000000001,0.25645999999999997,0.08404,0.040530000000000004
2016,Hungary,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,150.0,EUROPE,32.0,91,5.145,Amber,1.24142,0.9316399999999999,,0.67608,0.1977,0.044719999999999996,0.099
2016,Pakistan,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg,142.0,ASIA,26.0,92,5.132000000000001,Amber,0.68816,0.26135,,0.40306,0.14622000000000002,0.1388,0.31185
2016,Lebanon,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,142.0,ASIA,27.0,93,5.129,Amber,1.12268,0.64184,,0.76171,0.26228,0.030610000000000002,0.23693000000000003
2016,Portugal,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,150.0,EUROPE,33.0,94,5.122999999999999,Amber,1.27607,0.9436700000000001,,0.7936300000000001,0.44727,0.01521,0.11690999999999999
2016,Macedonia,https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_Macedonia.svg,150.0,EUROPE,34.0,95,5.121,Amber,1.0193,0.78236,,0.6473800000000001,0.27668000000000004,0.07047,0.23506999999999997
2016,Vietnam,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,142.0,ASIA,28.0,96,5.061,Amber,0.74037,0.7911699999999999,,0.66157,0.5595399999999999,0.11556,0.25075
2016,Somaliland Region,,,Nan,,97,5.0569999999999995,Amber,0.25558000000000003,0.75862,,0.33108000000000004,0.3913,0.36794,0.51479
2016,Tunisia,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,2.0,AFRICA,6.0,98,5.045,Amber,0.97724,0.43165,,0.59577,0.23553000000000002,0.0817,0.03936
2016,Greece,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,150.0,EUROPE,35.0,99,5.033,Amber,1.24886,0.75473,,0.80029,0.05822000000000001,0.04127,0.0
2016,Tajikistan,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg,142.0,ASIA,29.0,100,4.996,Amber,0.48835,0.75602,,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004
