year,country,happiness_score,happiness_status
2017,Bosnia and Herzegovina,5.18200016,Amber
2017,Honduras,5.181000233,Amber
2017,Macedonia,5.1750001910000005,Amber
2017,Somalia,5.151000023,Amber
2017,Vietnam,5.073999882,Amber
2017,Nigeria,5.073999882,Amber
2017,Tajikistan,5.040999889,Amber
2017,Bhutan,5.011000156000001,Amber
2017,Kyrgyzstan,5.004000187,Amber
2017,Nepal,4.961999893,Amber
2017,Mongolia,4.954999924,Amber
2017,South Africa,4.828999996,Amber
2017,Tunisia,4.804999828,Amber
2017,Palestinian Territories,4.775000095,Amber
2017,Egypt,4.735000134,Amber
2017,Bulgaria,4.714000225,Amber
2017,Sierra Leone,4.709000111,Amber
2017,Cameroon,4.695000172,Amber
2017,Iran,4.691999912,Amber
2017,Albania,4.644000053,Amber
2017,Bangladesh,4.607999802,Amber
2017,Namibia,4.573999882,Amber
2017,Kenya,4.552999973,Amber
2017,Mozambique,4.5500001910000005,Amber
2017,Myanmar,4.545000076,Amber
2017,Senegal,4.534999847,Amber
2017,Zambia,4.513999939,Amber
2017,Iraq,4.497000217,Amber
2017,Gabon,4.465000153,Amber
2017,Ethiopia,4.460000038,Amber
2017,Sri Lanka,4.440000057,Amber
2017,Armenia,4.375999928,Amber
2017,India,4.315000057,Amber
2017,Mauritania,4.291999817,Amber
2017,Congo (Brazzaville),4.290999889,Amber
2017,Georgia,4.285999775,Amber
2017,Congo (Kinshasa),4.28000021,Amber
2017,Mali,4.190000057,Amber
2017,Ivory Coast,4.179999828,Amber
2017,Cambodia,4.168000221000001,Amber
2017,Sudan,4.138999939,Amber
2017,Ghana,4.1199998860000004,Amber
2017,Ukraine,4.096000195,Amber
2017,Uganda,4.0809998510000005,Amber
2017,Burkina Faso,4.032000065,Amber
2017,Niger,4.027999878,Amber
2017,Malawi,3.970000029,Amber
2017,Chad,3.9360001089999996,Amber
2017,Zimbabwe,3.875,Amber
2017,Lesotho,3.808000088,Amber
2017,Angola,3.7950000760000004,Amber
2017,Afghanistan,3.79399991,Amber
2017,Botswana,3.766000032,Amber
2017,Benin,3.657000065,Amber
2017,Madagascar,3.644000053,Amber
2017,Haiti,3.6029999260000003,Amber
2017,Yemen,3.592999935,Amber
2017,South Sudan,3.59100008,Amber
2017,Liberia,3.5329999919999997,Amber
2017,Guinea,3.5069999689999998,Amber
2017,Togo,3.4949998860000004,Amber
2017,Rwanda,3.4709999560000004,Amber
2017,Syria,3.461999893,Amber
2017,Tanzania,3.348999977,Amber
2017,Burundi,2.904999971,Amber
2017,Central African Republic,2.6930000780000003,Amber
2018,Finland,7.632000000000001,Green
2018,Norway,7.593999999999999,Green
2018,Denmark,7.555,Green
2018,Iceland,7.495,Green
2018,Switzerland,7.487,Green
